aἀποκατάστασις
bουβαστεῖον
gelidoτρομερός
hαμα
hεκοτόν
hαρέσται
hαγρατέρα
hακροσκιρία
schm παίμματα
sσκῦτος
v gl
v gl x
vacat
vacat v app ad gl
ί
α
β
γ
δ
ε
ζ
η
θ
ι
κ
λ
μ
ν
ξ
ο
π
ρ
σ
τ
υ
φ
χ
ψ
ω
ϛ
ϝ
ϟ
ἀ
ἁ
ἃ
ἆ
ἐ
ἑ
ἒ
ἔ
ἕ
ἢ
ἣ
ἤ
ἥ
ἦ
ἧ
ἴ
ἵ
ἷ
ὀ
ὁ
ὅ
ὒ
ὗ
ὤ
ὥ
ὦ
ὧ
ᾗ
‘
ὦ 'φήμερε
ἡ 'πίτριπτος
α α
ψ ψ
ἂ ἄ
ἃ ἃ
ἄ α
ἄ ἄ
ἒ ἔ
ἢ ἤ
ὗ ὗ
ἦ δ' ὅς
ἦ τ' ἄν
ᾗ δ' ἄν
α δ' αἰάζω
η ῥ' ἐτεόν γε
ἦ τ' ἐφάμην
ὁ δ' ὡμάρτησε
ἅ σε
ἡ δέ
ἤ νυ
ἥ γε
ἥ τε
ἦ δή
ἦ κε
ἦ οἵ
ἦ τε
ὁ δέ
ὁ ὤν
ὃ δή
ὅ γε
ὅ τι
ᾧ μή 'στι τάρβος δρῶντι τοῦτον οὐδ' ἔπος φοβεῖ
ἡ μὴ 'μπειρία
ὅ τι μ' εἰδέναι
ἃ δέ κα
ἦ δʼ ὅς
ἦ δ’ ὅς
ἦ πῄ με
ἦ ῥά νυ
ἦ ῥά τι
ἦ ῥα ἄν
ἦ ῥά τί οἱ
ἦ ῥά νύ τοι
ἦ ῥά τί μοι
ἦ ῥα καί
ὃ δέ τις
ὃ δέ τοι
ἦ ῥα καὶ ἐξ ὀχέων
ἡ δὲ αἲξ τὴν μάχαιραν
ὅ τι πέρ ἐστιν ὄφελος ἐν τῇ πόλει
ἢ ἐν ὁδῷ καθελών
ἢ ἐν ὁδῶι καθελών
ἃ μὴ θέμις
ᾧ τὸ ἱερὸν πῦρ οὐκ ἔξεστι φυσῆσαι
ὁ ἐν τεμέσῃ ἥρως
κ ἂμ βρίζοντα
η γάρ
ἅ κεν
ἅ σου
ἢ νῦν
ἣ ῥεῖ
ἦ γάρ
ἦ θήν
ἦ μάν
ἦ μήν
ἦ που
ἦ σοί
ὁ γάρ
ὁ κίς
ὁ κώχ
ὅ μιν
ὅ μοι
ὅ ττι
ὅ ῤῥα
ὦ ζεῦ
ὦ παῖ
ὦ τάν
ὦ τᾶν
ὦ φῶς
ὦ ἔτα
ἢ τὰν ἢ ἐπὶ τᾷ
ἢ τὰν ἢ ἐπὶ τάν
ἢ γὰρ ἄν
ἦ γάρ με
ἦ θήν μιν
ἦ μέν μοι
ᾗ περ οὖν
ἢ τὰν ἐπὶ τάν
ἦ γάρ κεν δειλός
ὦ νῦν μὲν οὐδείς αὔριον δ' ὑπέρμεγας
ἢ οὐχ ἅλις
ᾗ μὲν κλέος ᾗ δὲ καὶ ἦσθα
ἦ μὲν κλέος ἠδὲ καὶ ἦσθα
ὁ τὸν κυσὸν τρωθεὶς ᾔδεις ὅπου μάλιστα τοῦ κράνους χρεία
ἥ μιν ἀνώγει
ἦ γὰρ ὀΐομαι
ἣ καὶ ἰβηρία καὶ ἑσπερία καλεῖται
ἡ ἀπὸ σκυθῶν ῥῆσις
ὦ νῦν θερμοὶ βωμοί
ὁ τὸν πατέρα εὑρὼν χαλκοῦ χρείᾳ
ἢ δεῖ χελώνης κρέα φαγεῖν ἢ μὴ φαγεῖν
ἢ χρὴ τραγῳδεῖν ἢ μελαγχολᾶν
ὁ καθ' εἷς ἡμῶν
ε δύων
ι κιών
ι ὦλκα
ἆ βάλε
ἡ φῦσα
ἢ θωήν
ἢ τεόν
ἢ ἔπει
ἢ ὁδόν
ἥ σφιν
ἦ μάλα
ἦ τάχα
ὃ σφῶϊ
ὡ τούς
ὦ ηδος
ὦ μέλε
ὦ οἰοῖ
ὸ γυῖα
ἢ τρὶς ἓξ ἢ τρεῖς κύβοι
ἢ τρὶς ἕξ ἢ τρεῖς κύβοι
ἡ κύων ἐν τῇ φάτνῃ
ἦ τάχα κεν
ἡ κύων ἐπὶ τῆς φάτνης
ὁ κρὴς τὴν θάλασσαν
ὁ κρὴς τὴν θάλατταν
ὁ παῖς τὸν κρύσταλλον
ὦ περὶ πάντ'
ὦ μέγα θαῦμα
ᾧ ἄχεϊ σχομένη
ὁ διὸς κόρινθος
ἢ δηθὰ στρεύγεσθαι
ε λόφον
ι ἄειρε
ν ἔεργε
ν ἠπύτα
ἁ μερία
ἁ πίτυς
ἃ πολλά
ἆ δειλέ
ἆ δειλώ
ἡ φάρυξ
ἢ ποθέν
ἢ πόλις
ἤ ποθεν
ὁ βωμός
ὁ μίδας
ὁ πέραν
ὁ τυχών
ὁ ἰωθόρ
ὦ δέμας
ὦ λῷστε
ὦ οὗτος
ὦ πέπον
ὦ πόποι
ὦ φθόρε
ᾗ θέμις
ᾗ χροιῇ
ὦ πάντα σὺ τολμῶν
ἡ ψελλὴ οὐ πιττεύω
ἡ ἀγάπη οὐ περπερεύεται
ἡ λαλιά σου
ὁ κάνης τῆς τύχης ὑπερέχει
ὁ κάνης τῆς κοίτης ὑπερέχει
ἡ χάραξ τὴν ἄμπελον
ἡ φάνου θύρα
ἡ φανοῦ θύρα
ἡ λύκου δεκάς
ὁ δεῖνα καλός
ᾗ ποδῶν εἶχεν ἕκαστος ἔθεον
ὦ ’ράνα χελίδων
ἡ γλῶττ' ὀμώμοχ'
α βράχεν
α δεῖρεν
α λιάσθη
α νήξεις
ε κλυτός
ε λεϊστή
η βρέτας
ο δέγμην
ἆ δειλοί
ἡ λιγνύς
ἡ πληθύς
ὁ δίοπος
ὁ καθείς
ὁ καυλός
ὁ μήνιεν
ὁ τλήμων
ὁ τρέσας
ὁ ἴουλος
ὦ λῶιστε
ἦ πολλοῦ γε δεῖ
ἡ γλῶττα τῷ κήρυκι τούτων τέμνεται
ὁ σκύθης τὸν ἵππον
ἣ πυμάτη θέεν
ὦ πλεῖον ἵλως αἱμύλης ἀλώπεκος
ὦ δύσμορ' αἶαν
α ἔμπεδον
ἡ δόκωσις
ἡ ἐπιοῦσα
ἢ μεμάασι
ἢ πέφαται
ἢ ὕστερον
ὁ βάκχιος
ὁ νείατος
ὁ τρυγίας
ὁ ὠγύγιος
ὁ ὠμηστής
ὦ μηδαμῶς
ὦ μοχθηρέ
ὦ τύμπανα
ὦ μακάριε τῆς τέχνης
ὁ κάτωθεν νόμος
ἡ περγαία ἄρτεμις
ἡ κάμηλος ψωριῶσα πολλῶν ὄνων ἀνατίθεται φορτία
α ῥηξήνορα
ἃ προσήκει
ἡ γαμήλιος
ἡ νεοθηλής
ἡ σκοτεινή
ὁ διμαλέος
ὁ μολοβρός
ὁ προτυχών
ὁ ἀγελαῖος
ὁ ὠκυπόρος
ὁ ὠκύμορος
ὁ ὠκύπλοος
ὁ ὠκύτατος
ὦ λακιάδαι
ὦ ἡράκλεις τί μαίνῃ
ἢ μορσίμου τὶς ῥῆσιν ἐξεγράψατο
