24z10,ἀναζέσαι καὶ ἀνάζεσον
24z12,ἀγριωθείς
24z14,ἀνεψιαδῆ
24z16,ἁρμογή
25z10,ἀπαλοᾶν
25z16,ἄπεφθον
26z1,αἰνίγματα συμβάλλειν
26z2,ἀνεσκιρτημένας
26z4,ἀφηγεῖσθαι
26z5,αἱμορρυής
26z6,αὐτὰ καὶ τὰ φίλτατα
26z9,ἀπέσβησε πῦρ
26z11,ἄκος περίαπτον
26z14,ἀναφαλαντίας
26z16,ἀγροβόας ἀνήρ
27z1,"ἀπομάθοις, ἀπομαθέτω, ἀπόμαθε"
27z3,ἀντριάδες
27z9,ἀποψύχεσθαι
27z11,ἄδηλος γνώμη
27z12,ἀνυπόδητος
27z13,ἀφοῦ
27z18,ἄβαξ
27z20,ἀνήγρετο ἐξ ὕπνου
27z22,ἄψυχον ἄνδρα λαμβάνειν συνέμπορον
28z1,ἄσβολος
28z3,αὐθέκαστα <λέγειν>
28z9,ἀσκεῖν καὶ ἀσκηταί καὶ ἀσκητικῶς
29z1,ἀναρρῖψαι κίνδυνον
29z3,ἄβουλος στάσις
29z4,ἄψαυστος
29z6,ἁπαξάπαντες
29z8,ἀνακτᾷ τόνδε
29z13,αὐτόκρατον
29z16,ἀπαιδάγωγος
29z18,ἀναφρόδιτον
29z19,αὐτοκέλευστος
30z1,ἀκοσμεῖν
30z3,αἱ τῶν γυναικῶν παγίδες
30z6,ἀνέκαθεν
30z8,ἁπαλόχρως
30z10,ἀργυροσκόπος καὶ ἀργυρογνώμων καὶ ἀργυραμοιβός
30z15,ἀτύραννος πόλις καὶ δῆμος. ἀρρενοῦσθαι
31z1,ἀποτῆξαι λιμῷ
31z2,ἄνανδρος γυνή
31z3,ἁπλούστατος
31z5,ἀντισιωπᾶν
31z7,ἀκάτια
31z10,ἀνίλλειν βιβλίον
31z13,ἀτηρὸν κακόν
31z14,ἀνδρὸς εἶναι μοῖραν
31z16,αὐτογνώμων ἄνθρωπος
31z18,ἀπαρκτίας
31z19,ἀνδρόβουλος γυνή
32z1,ἀναριχᾶσθαι
